oma_id	athal_id	AEGTA:	ARALY:	BRADI:	MAIZE:	MEDTR:	ORYSI:	SOLTU:	SORBI:	WHEAT:
OMA552423	AT5G09430	0	1	1	1	1	1	1	1	1
OMA520012	AT1G10820	0	1	0	0	0	0	0	0	0
OMA551321	AT3G10300	0	1	0	1	0	1	0	0	1
OMA505144	AT5G41550	0	0	0	0	0	0	0	0	0
OMA458197	AT2G21680	0	1	0	0	0	0	0	0	0
OMA458196	AT2G29800	0	1	0	0	0	0	0	0	0
OMA458192	AT1G02340	0	1	0	0	0	0	0	0	0
OMA686604	AT2G44440	0	1	0	0	1	0	1	0	0
OMA465920	AT1G21395	0	1	0	0	0	0	0	0	0
OMA523053	AT4G13800	0	1	1	1	1	1	1	1	1
OMA523057	AT5G11960	0	0	1	1	1	1	0	1	1
OMA523059	AT1G34470	1	1	1	1	0	1	0	1	1
OMA654552	AT1G48605	0	0	0	1	0	0	1	1	1
OMA793749	AT5G59460	0	1	0	0	0	0	0	0	1
OMA793744	AT2G48000	0	1	0	0	0	0	0	0	0
OMA793745	AT1G15230	0	1	1	1	0	1	0	1	1
OMA793741	AT2G30780	1	1	1	1	0	1	1	1	1
OMA854037	AT2G41490	1	1	1	1	0	1	1	1	1
OMA790464	AT4G34890	0	1	1	0	1	1	0	1	1
OMA790461	AT4G19985	1	1	0	1	1	1	1	1	1
OMA662042	AT1G06130	0	0	0	0	1	0	0	0	1
OMA588294	AT3G26250	0	0	0	0	0	0	0	0	0
OMA801819	AT3G55870	0	1	0	1	1	0	0	0	1
OMA801812	AT5G05730	1	1	0	0	0	0	0	0	1
OMA810306	AT4G34090	0	1	1	1	1	1	1	1	1
OMA810307	AT2G23370	0	1	0	0	0	0	0	0	1
OMA520596	AT3G50260	0	1	0	0	0	0	0	0	0
OMA520595	AT5G67190	0	1	0	0	1	0	0	0	0
OMA633865	AT3G01320	0	1	0	0	0	0	0	0	0
OMA628909	AT2G37400	0	1	0	0	0	0	1	0	0
OMA409205	AT3G32980	0	1	0	0	1	0	0	0	0
OMA820426	AT5G42590	0	0	0	0	0	0	0	0	0
OMA648439	AT1G15220	0	1	1	1	1	1	0	1	1
OMA661279	AT5G46295	0	1	0	0	0	0	0	0	0
OMA830679	AT4G14910	0	0	0	0	0	0	0	0	0
OMA830675	AT3G22425	0	0	0	0	0	0	0	0	1
OMA779649	AT5G55040	0	1	0	0	1	0	1	0	1
OMA741545	AT5G25265	1	0	1	1	0	1	1	1	1
OMA741544	AT5G13500	0	1	0	1	1	0	0	0	1
OMA744212	AT5G60370	0	1	1	0	1	1	1	1	1
OMA476014	AT2G42180	0	1	0	0	0	0	0	0	0
OMA584928	AT4G13390	0	0	0	0	0	0	0	0	0
OMA564647	AT3G27580	0	1	0	0	0	0	1	0	0
OMA564644	AT3G06030	0	1	0	0	1	0	0	1	1
OMA521872	AT5G19250	0	1	0	0	0	0	0	0	0
OMA545620	AT5G06780	0	1	0	0	0	0	1	0	0
OMA548702	AT3G03990	1	1	1	1	1	1	0	1	1
OMA548707	AT1G66900	0	1	1	1	0	1	0	1	1
OMA856492	AT2G41705	0	1	1	1	0	1	1	1	1
OMA555796	AT5G35580	0	1	0	1	0	0	0	1	1
OMA786606	AT2G21890	0	0	0	0	0	0	0	0	0
OMA734754	AT1G75660	1	0	1	1	0	1	1	0	1
OMA772726	AT2G32640	1	0	1	0	0	0	0	0	1
OMA411866	AT2G16050	1	0	1	1	0	1	1	1	1
OMA771417	AT1G65550	0	1	0	0	1	0	0	0	0
OMA810873	AT1G79520	0	1	0	1	0	0	0	1	1
OMA810879	AT3G58810	0	1	0	0	0	0	0	0	0
OMA813753	AT3G01160	1	1	1	1	1	1	1	0	1
OMA470288	AT5G44930	0	1	0	0	0	0	0	0	0
OMA546097	AT3G07460	0	0	0	0	0	0	0	0	0
OMA791676	AT1G71920	0	1	1	1	0	1	1	1	1
OMA791678	AT2G22250	1	1	1	1	1	1	1	1	1
OMA791679	AT1G77670	0	1	1	1	1	1	0	1	1
OMA506628	AT4G04555	0	0	0	0	0	0	0	0	0
OMA556080	AT2G47620	0	1	1	1	1	1	0	0	1
OMA423929	AT2G20805	0	1	0	0	0	0	0	0	0
OMA505548	AT1G66560	0	0	0	0	0	0	0	0	1
OMA505541	AT2G04420	0	0	1	0	0	0	0	0	0
OMA505542	AT1G58037	0	0	0	0	0	0	1	0	0
OMA505545	AT5G28646	0	1	0	1	0	0	0	0	0
OMA665760	AT3G13970	1	1	1	0	0	0	0	0	1
OMA727733	AT1G16510	0	1	0	0	0	0	0	0	1
OMA569312	AT5G59110	0	0	0	0	1	0	0	0	0
OMA727734	AT1G79130	0	1	0	1	0	0	0	0	1
OMA727735	AT3G12830	0	0	0	0	0	0	0	0	1
OMA831970	AT5G44720	1	1	1	0	1	0	0	0	1
OMA416862	AT5G07600	0	1	0	0	0	0	0	0	0
OMA814308	AT4G00040	0	1	1	1	0	1	0	1	1
OMA814307	AT1G19440	1	1	1	0	0	1	1	1	1
OMA814304	AT1G68530	1	1	1	1	1	1	1	1	1
OMA814305	AT1G02050	1	1	0	1	1	0	1	0	1
OMA814302	AT5G13930	1	1	1	1	1	1	0	1	1
OMA814303	AT4G34850	1	1	1	1	0	1	1	1	1
OMA633635	ATMG00220	0	0	0	0	0	1	0	0	1
OMA826497	AT4G26870	0	1	0	0	0	1	0	0	0
OMA817823	AT4G14965	0	1	1	0	0	1	1	1	1
OMA714249	AT4G32560	0	1	0	0	0	0	0	0	0
OMA772330	AT1G55120	0	1	0	0	0	0	1	0	0
OMA755579	AT5G09380	0	1	1	0	0	0	0	0	1
OMA755578	AT4G25180	0	1	0	0	0	0	1	0	0
OMA747471	AT2G41540	0	1	0	0	0	0	0	0	1
OMA727703	AT3G18510	0	1	1	0	0	1	0	1	1
OMA727707	AT1G05790	0	1	0	1	0	0	0	1	1
OMA793348	AT4G24920	0	1	0	0	0	1	1	0	1
OMA793347	AT5G50460	1	1	1	1	0	1	1	1	1
OMA477873	AT5G60690	0	1	0	1	1	1	1	1	1
OMA477872	AT2G34710	1	1	1	1	1	1	1	1	1
OMA477871	AT4G32880	1	1	1	1	1	1	1	1	1
OMA477876	AT1G52150	0	1	0	0	1	0	1	0	0
OMA790067	AT5G64760	0	0	0	0	0	0	0	0	0
OMA790065	AT5G09900	1	1	1	1	1	1	1	1	1
OMA841777	AT4G15520	0	1	1	0	1	0	1	1	1
OMA439781	AT2G14290	0	0	0	0	0	0	0	0	0
OMA486902	AT4G18010	0	0	0	0	0	0	0	0	0
OMA481487	AT5G22760	1	1	1	0	0	0	1	0	1
OMA481486	AT5G35210	1	1	1	1	0	1	0	1	1
OMA766825	AT5G24580	1	1	1	0	1	1	0	0	1
OMA694012	AT1G66180	0	1	0	0	1	0	1	0	0
OMA628583	AT3G55450	0	1	0	0	0	0	0	0	0
OMA628585	AT1G80140	0	1	0	0	0	0	0	0	0
OMA782180	AT2G39430	0	1	0	0	1	0	1	0	1
OMA791776	AT4G28410	0	0	0	1	0	1	0	0	1
OMA776676	AT1G29330	0	1	1	1	1	1	1	1	1
OMA776675	AT3G25040	1	1	1	0	0	1	1	1	1
OMA776678	AT4G38790	0	1	1	0	0	1	1	1	0
OMA739006	AT1G71070	0	1	1	0	0	1	1	1	1
OMA530277	AT3G11780	0	1	0	1	0	0	1	0	1
OMA851167	AT1G50670	1	1	1	1	1	1	1	1	1
OMA503205	AT2G17740	0	0	0	0	0	0	1	0	0
OMA777580	AT4G38090	0	0	0	0	0	0	0	0	1
OMA821344	AT3G26220	0	0	0	0	0	0	0	0	0
OMA640969	AT4G29730	0	1	0	0	0	0	0	0	0
OMA537007	AT5G52605	0	0	0	0	0	0	0	0	0
OMA537002	AT5G18890	0	1	0	0	0	0	0	0	0
OMA461881	AT4G23770	0	0	0	0	0	0	0	0	0
OMA461882	AT5G43695	0	0	0	0	0	0	0	0	0
OMA562300	AT2G31240	1	1	1	1	0	1	0	1	1
OMA808708	AT5G13240	0	1	1	1	1	0	1	1	1
OMA803342	AT1G06510	0	1	1	1	1	1	1	1	1
OMA766877	AT5G56180	0	0	0	0	1	0	0	1	1
OMA855840	AT5G61330	0	1	1	0	1	1	1	0	1
OMA719686	AT1G55670	0	1	0	1	0	1	1	1	1
OMA540297	AT4G25810	1	1	0	1	0	0	1	0	1
OMA565227	AT2G34930	0	1	0	0	0	0	0	0	0
OMA531175	AT4G29520	0	0	1	1	1	1	1	1	1
OMA800069	AT3G26690	0	1	1	1	0	1	0	0	0
OMA536251	AT5G53240	0	1	0	0	0	0	0	0	0
OMA705781	AT1G20200	1	1	1	0	1	1	1	0	1
OMA563171	AT4G20270	0	1	0	1	0	1	1	1	0
OMA563173	AT3G50240	0	1	0	0	0	0	0	0	0
OMA404489	AT2G23980	1	0	0	0	0	0	0	0	1
OMA563176	AT4G33390	0	1	0	1	0	1	0	0	1
OMA560346	AT3G14790	0	1	0	1	0	0	0	1	1
OMA560344	AT3G09390	0	1	1	1	0	1	1	1	1
OMA784122	AT5G59370	0	1	0	0	0	0	0	0	1
OMA804036	AT2G19740	0	1	1	0	0	0	0	0	1
OMA784120	AT3G12110	1	0	0	0	0	0	1	0	1
OMA665211	AT5G59740	0	1	1	1	1	1	0	1	1
OMA431007	AT5G02890	0	1	0	0	0	0	0	0	0
OMA665215	AT3G46180	0	0	0	1	1	0	1	0	1
OMA864751	AT2G25700	0	1	0	0	0	0	0	0	1
OMA665466	AT2G24330	0	1	0	1	0	0	0	0	1
OMA765541	AT3G47070	0	1	1	1	1	1	1	1	1
OMA765544	AT3G62330	0	1	0	0	0	0	0	0	1
OMA765546	AT3G18310	1	1	0	0	1	1	0	0	1
OMA765548	AT2G06010	0	1	1	1	0	1	1	1	1
OMA797165	AT3G06483	1	1	1	1	1	1	1	1	1
OMA690753	AT2G28630	0	1	0	0	0	0	1	0	1
OMA489255	AT3G49900	0	1	1	0	0	1	1	0	1
OMA489253	AT3G26490	0	0	0	0	0	0	0	0	0
OMA760063	AT3G05975	0	0	1	1	1	1	0	1	1
OMA777461	AT1G71810	1	1	1	1	0	1	0	1	1
OMA468565	AT4G21865	0	1	0	0	0	0	0	0	0
OMA631076	AT4G38080	0	1	0	0	0	0	0	0	0
OMA800894	AT5G20080	1	1	1	1	1	0	0	1	1
OMA800892	AT5G17770	0	1	1	1	1	1	0	1	1
OMA394262	AT1G52603	0	0	0	0	0	0	0	0	0
OMA816498	AT3G57785	1	0	1	1	0	1	1	1	1
OMA816499	AT2G42310	0	1	0	1	1	0	0	0	1
OMA723175	AT5G55240	0	1	0	0	0	0	0	0	1
OMA588715	AT5G09780	0	1	0	0	1	0	0	0	0
OMA570553	AT1G62510	0	0	0	0	0	0	1	0	1
OMA407633	AT5G24590	0	1	0	0	0	0	0	0	0
OMA770037	AT2G28605	0	1	1	1	0	1	1	0	1
OMA770035	AT5G64190	0	1	0	0	1	0	0	0	1
OMA770033	AT4G10170	0	1	1	0	1	1	1	1	1
OMA488408	AT3G10116	0	1	0	0	0	0	0	0	0
OMA516447	AT3G11870	0	1	0	1	0	0	0	0	0
OMA417519	AT3G50970	0	1	0	0	0	0	0	0	1
OMA802840	AT1G27050	1	0	1	0	0	1	1	1	1
OMA461765	AT2G16535	0	1	0	0	0	0	0	0	0
OMA685705	AT2G35110	1	1	1	0	1	1	0	1	1
OMA579221	AT3G47110	0	1	0	0	0	1	0	0	0
OMA718682	AT1G15000	0	1	1	1	1	1	1	1	1
OMA718683	AT3G45010	0	1	0	1	1	1	1	1	1
OMA718681	AT2G27920	0	1	1	0	0	1	0	0	1
OMA718686	AT5G23210	0	1	1	1	1	1	1	1	1
OMA718684	AT1G28110	0	1	1	1	0	1	1	1	1
OMA718685	AT3G63470	0	0	0	1	1	1	0	1	1
OMA718688	AT3G17180	0	1	1	0	0	1	1	1	0
OMA718689	AT5G42240	0	1	1	1	1	1	1	1	1
OMA547120	AT4G16660	0	1	1	1	0	1	1	1	1
OMA547123	AT3G15610	0	1	0	1	0	0	1	0	0
OMA547122	AT2G14260	0	1	1	1	1	1	0	1	1
OMA547124	AT1G64230	0	1	1	1	0	1	1	1	1
OMA547126	AT1G74910	1	1	0	1	0	1	1	1	1
OMA421459	AT5G08141	0	1	0	0	0	0	0	0	0
OMA834546	AT5G61820	0	1	1	0	0	1	0	1	1
OMA635699	AT5G28470	0	1	0	0	1	0	1	0	0
OMA635698	AT5G62730	0	0	0	0	1	0	0	0	0
OMA551898	AT1G66950	0	1	0	0	0	1	1	0	1
OMA410149	AT2G43480	0	1	0	0	0	0	0	0	0
OMA410141	AT3G46050	0	1	0	0	0	0	0	0	0
OMA410145	AT1G26790	0	1	0	0	0	0	0	0	0
OMA799944	AT3G49470	1	1	1	1	1	1	1	1	1
OMA799943	AT5G13850	0	1	1	0	0	0	1	0	0
OMA799948	AT3G12390	0	0	0	1	0	0	0	0	1
OMA859099	AT1G78680	0	1	1	1	1	1	1	1	1
OMA686984	AT5G01910	0	1	0	0	0	0	1	0	0
OMA686989	AT3G12320	0	1	0	0	1	0	0	0	0
OMA686988	AT5G06980	0	1	0	0	0	0	0	0	0
OMA839127	AT1G54520	0	1	1	1	1	1	1	1	1
OMA556308	AT3G05900	0	0	0	0	0	0	1	0	0
OMA697348	AT4G11990	0	1	0	0	1	0	0	0	1
OMA741472	AT4G32105	0	1	0	0	0	0	0	0	1
OMA741471	AT4G32110	0	0	0	0	0	0	0	0	1
OMA741470	AT4G32100	1	0	0	0	0	0	0	1	1
OMA697343	AT3G06520	0	1	0	0	0	0	1	0	0
OMA655459	AT3G12500	0	1	1	1	0	1	1	1	1
OMA499727	AT1G74650	0	1	0	0	0	0	0	0	0
OMA499722	AT1G08810	0	1	1	0	0	0	0	0	1
OMA756810	AT3G19553	0	1	1	1	1	1	1	1	1
OMA403761	AT4G20770	1	1	1	1	1	1	1	1	1
OMA410810	AT2G27080	0	0	1	1	0	1	0	1	1
OMA393631	AT5G38565	0	0	0	0	0	0	0	0	0
OMA570887	AT2G46610	0	1	0	1	0	0	0	0	1
OMA846766	AT1G33390	0	1	1	1	1	1	1	1	1
OMA500788	AT3G47990	0	1	0	1	1	1	1	1	1
OMA500789	AT4G11680	0	1	1	1	0	1	0	1	1
OMA846765	AT2G35920	0	1	1	1	1	1	1	0	1
OMA846761	AT4G18465	0	1	1	0	1	1	1	1	1
OMA863925	AT2G41840	0	0	1	0	1	0	1	1	0
OMA548964	AT3G19050	0	1	1	0	0	1	1	1	1
OMA832960	AT5G44090	0	1	0	0	0	0	0	0	0
OMA562969	AT1G16700	0	1	0	0	0	0	0	0	1
OMA489652	AT4G22550	0	1	1	1	0	1	0	1	1
OMA471676	AT2G42710	1	1	0	1	1	1	0	0	1
OMA464200	AT2G03610	0	1	0	0	0	0	0	0	0
OMA576316	AT4G29050	1	1	0	0	0	0	0	0	1
OMA751065	AT1G60060	0	1	0	0	1	1	1	1	1
OMA751067	AT5G07330	1	0	1	0	0	1	1	0	1
OMA751063	AT4G08250	0	1	1	1	0	1	1	1	1
OMA770489	AT3G51480	0	1	0	0	1	0	0	0	0
OMA787131	AT1G13420	0	0	0	0	0	0	0	0	1
OMA652959	AT3G52530	0	0	0	0	0	0	0	0	0
OMA858707	AT3G14510	0	0	0	0	0	0	0	0	0
OMA797847	AT1G71696	0	1	1	0	0	1	0	1	1
OMA414273	AT4G11655	0	1	0	0	0	0	0	0	0
OMA520359	AT3G46930	0	1	0	0	0	0	0	0	1
OMA563915	AT5G41610	0	1	0	0	1	0	1	0	0
OMA861353	AT3G23940	1	1	1	1	1	1	1	1	1
OMA417993	AT1G60880	0	1	0	0	0	0	0	0	0
OMA404818	AT4G13992	0	0	0	0	0	0	0	0	0
OMA721596	AT3G24600	1	0	1	0	0	1	0	1	1
OMA721590	AT1G04770	0	0	0	0	0	0	1	0	0
OMA721598	AT3G24605	0	0	0	0	0	0	0	0	0
OMA473698	AT3G01880	0	0	0	0	0	0	0	0	0
OMA473697	AT2G01860	1	1	1	1	0	1	1	1	1
OMA473696	AT3G01870	0	1	0	0	0	0	0	0	0
OMA755758	AT5G53150	1	1	0	1	0	0	0	0	1
OMA755757	AT2G25560	0	1	0	0	1	0	1	0	1
OMA755753	AT1G18900	0	1	0	0	0	0	0	0	0
OMA755751	AT1G74750	1	1	1	1	0	1	0	1	1
OMA689055	AT5G41010	0	1	1	1	0	1	1	1	1
OMA547422	AT2G07687	0	1	0	0	1	0	0	0	1
OMA547423	AT2G07680	0	1	1	1	1	1	0	1	1
OMA547424	AT2G34460	0	1	1	1	1	0	0	1	1
OMA457509	AT1G18790	0	1	0	0	0	0	0	0	0
OMA457501	AT4G39720	0	0	0	0	0	0	0	0	0
OMA457507	AT1G20360	0	0	0	0	0	0	0	0	0
OMA457506	AT1G28190	0	1	0	0	0	0	0	0	0
OMA827029	AT1G22400	0	1	1	0	1	1	0	1	1
OMA827028	AT1G01420	0	1	0	1	0	0	0	1	1
